pair	ts	grade	bbw_pct_now	amp_24h	win4h	bucket
BNB/USDT	2025-03-17 02:45:00+00:00	B	0.9517361111111111	0.03753042141667743	2025-03-17 00:00:00+00:00	[0.75,1.00]
DOGE/USDT	2025-03-17 18:30:00+00:00	B	0.6673611111111111	0.07664731990440413	2025-03-17 16:00:00+00:00	[0.50,0.75)
LINK/USDT	2025-03-18 07:00:00+00:00	A	0.259375	0.05815602836879422	2025-03-18 04:00:00+00:00	[0.25,0.50)
LINK/USDT	2025-03-19 10:30:00+00:00	A	0.30486111111111114	0.07268877911079741	2025-03-19 08:00:00+00:00	[0.25,0.50)
ADA/USDT	2025-03-19 13:00:00+00:00	B	0.3607638888888889	0.03919680924219498	2025-03-19 12:00:00+00:00	[0.25,0.50)
BTC/USDT	2025-03-19 18:45:00+00:00	B	0.5545138888888889	0.04436794968009838	2025-03-19 16:00:00+00:00	[0.50,0.75)
BNB/USDT	2025-03-20 09:00:00+00:00	B	0.5086805555555556	0.03343901323364729	2025-03-20 08:00:00+00:00	[0.50,0.75)
AVAX/USDT	2025-03-21 18:30:00+00:00	A	0.30277777777777776	0.04562334217506628	2025-03-21 16:00:00+00:00	[0.25,0.50)
LINK/USDT	2025-03-22 16:15:00+00:00	A	0.09444444444444444	0.024390243902439	2025-03-22 16:00:00+00:00	[0.05,0.10)
DOGE/USDT	2025-03-23 06:30:00+00:00	A	0.03923611111111111	0.041163946061036155	2025-03-23 04:00:00+00:00	[0.00,0.05)
SOL/USDT	2025-03-23 10:15:00+00:00	A	0.09583333333333334	0.08087233075874607	2025-03-23 08:00:00+00:00	[0.05,0.10)
BTC/USDT	2025-03-23 23:45:00+00:00	B	0.4795138888888889	0.037711962361687876	2025-03-23 20:00:00+00:00	[0.25,0.50)
BNB/USDT	2025-03-24 00:00:00+00:00	A	0.03125	0.03507284852943521	2025-03-24 00:00:00+00:00	[0.00,0.05)
BTC/USDT	2025-03-24 04:00:00+00:00	B	0.5315972222222223	0.028314950097153353	2025-03-24 04:00:00+00:00	[0.50,0.75)
SOL/USDT	2025-03-24 10:30:00+00:00	B	0.5857638888888889	0.04788434414668561	2025-03-24 08:00:00+00:00	[0.50,0.75)
DOGE/USDT	2025-03-24 14:00:00+00:00	A	0.45625	0.054560530679933605	2025-03-24 12:00:00+00:00	[0.25,0.50)
BNB/USDT	2025-03-24 16:00:00+00:00	B	0.3885416666666667	0.02237016469994313	2025-03-24 16:00:00+00:00	[0.25,0.50)
LTC/USDT	2025-03-25 13:00:00+00:00	A	0.13576388888888888	0.04094002552105481	2025-03-25 12:00:00+00:00	[0.10,0.25)
XRP/USDT	2025-03-25 17:45:00+00:00	A	0.10694444444444444	0.04075006088156508	2025-03-25 16:00:00+00:00	[0.10,0.25)
BTC/USDT	2025-03-25 20:00:00+00:00	A	0.14930555555555555	0.029493437429282697	2025-03-25 20:00:00+00:00	[0.10,0.25)
XRP/USDT	2025-03-26 01:15:00+00:00	A	0.09583333333333334	0.06065878925218523	2025-03-26 00:00:00+00:00	[0.05,0.10)
LTC/USDT	2025-03-27 10:00:00+00:00	A	0.11909722222222222	0.07400760135135126	2025-03-27 08:00:00+00:00	[0.10,0.25)
BTC/USDT	2025-03-31 12:45:00+00:00	B	0.6340277777777777	0.034418066530915	2025-03-31 12:00:00+00:00	[0.50,0.75)
ETH/USDT	2025-04-01 08:15:00+00:00	B	0.7239583333333334	0.045362159637866904	2025-04-01 08:00:00+00:00	[0.50,0.75)
ADA/USDT	2025-04-01 14:45:00+00:00	A	0.25590277777777776	0.046440082039261574	2025-04-01 12:00:00+00:00	[0.25,0.50)
AVAX/USDT	2025-04-01 23:30:00+00:00	B	0.4909722222222222	0.10797174571140247	2025-04-01 20:00:00+00:00	[0.25,0.50)
BTC/USDT	2025-04-02 13:30:00+00:00	B	0.4204861111111111	0.07847113875429028	2025-04-02 12:00:00+00:00	[0.25,0.50)
