half_band_pct	grid_count	policy	path	leverage	horizon_d	maint_rate	fee_rate	n	net_mean	net_p5	net_p25	net_median	net_p75	net_p95	net_ci_lo	net_ci_hi	liq_rate	pnl_grid_mean	pnl_inv_mean	pnl_fee_mean	scenario
3	40	recover	reverse	5	1	0.02	0.00011	12470	-0.000344188	-0.0642624	-0.00566877	0.00738483	0.0171057	0.0391522	-0.0017392	0.00108853	0.000240577			-0.0031678	main
3	40	recover	reverse	5	7	0.02	0.00011	12470	-0.00561125	-0.163552	0.00436117	0.015756	0.0295584	0.061109	-0.0104474	-0.000753825	0.002085			-0.0044974	main
3	40	recover	reverse	5	30	0.02	0.00011	12470	-0.0120929	-0.265636	0.00998629	0.018886	0.0334488	0.065263	-0.0220939	-0.00275791	0.00825982			-0.00455329	main
3	40	recover	reverse	10	1	0.02	0.00011	12470	-0.000780098	-0.128525	-0.0113375	0.0147697	0.0342114	0.0783044	-0.00362531	0.00209571	0.00152366			-0.0063356	main
3	40	recover	reverse	10	7	0.02	0.00011	12470	-0.0114573	-0.331209	0.0086883	0.0315071	0.0591063	0.122218	-0.0209467	-0.00189729	0.0115477			-0.00899469	main
3	40	recover	reverse	10	30	0.02	0.00011	12470	-0.0243039	-0.664891	0.0197656	0.0375219	0.0666429	0.130372	-0.0406752	-0.00750498	0.044587			-0.00910526	main
3	40	recover	reverse	15	1	0.02	0.00011	12470	-0.00171936	-0.192995	-0.0170664	0.0221427	0.051317	0.117457	-0.00600363	0.00269446	0.00521251			-0.00950336	main
3	40	recover	reverse	15	7	0.02	0.00011	12470	-0.0199896	-0.566265	0.0122439	0.0471876	0.0886039	0.183327	-0.0343874	-0.00568275	0.0370489			-0.0134912	main
3	40	recover	reverse	15	30	0.02	0.00011	12470	-0.034522	-1	0.0284022	0.05525	0.0989953	0.194961	-0.055117	-0.0136196	0.0845229			-0.0136512	main
3	40	recover	reverse	30	1	0.02	0.00011	12470	-0.00471855	-0.409191	-0.0349843	0.044183	0.102427	0.234203	-0.0128959	0.00348491	0.0273456			-0.0190057	main
3	40	recover	reverse	30	7	0.02	0.00011	12470	-0.0418685	-1	-0.0215088	0.0916096	0.175604	0.365134	-0.0652205	-0.0191917	0.130553			-0.0269601	main
3	40	recover	reverse	30	30	0.02	0.00011	12470	-0.0585609	-1	0.0431774	0.102646	0.191193	0.385125	-0.084295	-0.0317856	0.182759			-0.0272451	main
3	80	close	reverse	3	1	0.02	0.00011	12470	-0.0015403	-0.012969	-0.00931914	-0.00277348	0.00458385	0.0147157	-0.00183067	-0.00122607	0			-0.00364679	main
3	80	close	reverse	3	7	0.02	0.00011	12470	-0.00248528	-0.0130133	-0.00978454	-0.005451	0.00164043	0.0178627	-0.00285867	-0.00208278	0			-0.00525806	main
3	80	close	reverse	3	30	0.02	0.00011	12470	-0.00257025	-0.0130133	-0.00978454	-0.00545501	0.00158193	0.0173781	-0.00293158	-0.00217987	0			-0.0053063	main
3	80	close	reverse	5	1	0.02	0.00011	12470	-0.00256717	-0.021615	-0.0155319	-0.00462247	0.00763975	0.0245262	-0.00305111	-0.00204345	0			-0.00607799	main
3	80	close	reverse	5	7	0.02	0.00011	12470	-0.00414213	-0.0216888	-0.0163076	-0.00908499	0.00273404	0.0297712	-0.00476445	-0.00347129	0			-0.00876344	main
3	80	close	reverse	5	30	0.02	0.00011	12470	-0.00428375	-0.0216888	-0.0163076	-0.00909168	0.00263654	0.0289635	-0.00488597	-0.00363312	0			-0.00884384	main
