cfg	leverage	horizon_d	n	auto_mean	reverse_mean	real_mean	real_side	in_bracket_rate
W7.0_N40_recover	10	1	186	-0.006677480156515643	-0.0018350553663192366	-0.006652581372913485	auto側(負)	0.989247311827957
W7.0_N40_recover	15	1	186	-0.010016220234773464	-0.0027525830494788566	-0.00997887205937023	auto側(負)	0.989247311827957
W7.0_N80_close	3	1	186	-0.003753785897285079	-0.0008872367146085704	-0.003721586223645956	auto側(負)	0.9247311827956989
W7.0_N80_close	3	7	186	-0.010341448384021108	-0.0025029043884242696	-0.010275304150129375	auto側(負)	0.9086021505376344
W7.0_N80_close	5	1	186	-0.006256309828808467	-0.0014787278576809506	-0.006202643706076595	auto側(負)	0.9247311827956989
W7.0_N80_close	5	7	186	-0.017235747306701844	-0.0041715073140404495	-0.0171255069168823	auto側(負)	0.9086021505376344
W7.0_N80_close	10	1	186	-0.012512619657616941	-0.002957455715361907	-0.012405287412153198	auto側(負)	0.9247311827956989
W7.0_N80_close	10	7	186	-0.03447149461340369	-0.0083430146280809	-0.03425101383376462	auto側(負)	0.9086021505376344
W7.0_N80_close	15	1	186	-0.018768929486425407	-0.004436183573042861	-0.018607931118229788	auto側(負)	0.9247311827956989
W7.0_N80_close	15	7	186	-0.05170724192010553	-0.01251452194212136	-0.05137652075064691	auto側(負)	0.9086021505376344
W7.0_N80_close	30	1	186	-0.0375378589728508	-0.008872367146085717	-0.037215862236459576	auto側(負)	0.9247311827956989
W7.0_N80_close	30	7	186	-0.10341448384021105	-0.02502904388424271	-0.10275304150129382	auto側(負)	0.9086021505376344
W7.0_N80_hold	3	1	186	-0.0032243491946500036	0.00026298903623767913	-0.00317935402872256	auto側(負)	0.9247311827956989
W7.0_N80_hold	3	7	186	-0.021042692944507304	-0.0072656926240439	-0.020898778352571753	auto側(負)	0.9247311827956989
W7.0_N80_hold	5	1	186	-0.00537391532441667	0.0004383150603961329	-0.005298923381204268	auto側(負)	0.9247311827956989
W7.0_N80_hold	5	7	186	-0.03507115490751217	-0.012109487706739844	-0.03483129725428626	auto側(負)	0.9247311827956989
W7.0_N80_hold	10	1	186	-0.010747830648833352	0.0008766301207922551	-0.010597846762408545	auto側(負)	0.9247311827956989
W7.0_N80_hold	10	7	186	-0.09113886273734521	-0.04632751529631801	-0.09066494950649825	auto側(負)	0.9408602150537635
W7.0_N80_hold	15	1	186	-0.016121745973250022	0.0013149451811883862	-0.015896770143612814	auto側(負)	0.9247311827956989
