half_band_pct	grid_count	policy	path	leverage	horizon_d	maint_rate	fee_rate	n	net_mean	net_p5	net_p25	net_median	net_p75	net_p95	net_ci_lo	net_ci_hi	liq_rate	pnl_grid_mean	pnl_inv_mean	pnl_fee_mean	scenario
1.5	80	hold	auto	10	30	0.02	0.00011	12470	-0.453398	-1	-1	-0.362617	-0.0442718	0.153788	-0.493173	-0.412867	0.343144	0.270734	-0.279402	-0.131893	main
1.5	80	hold	auto	15	1	0.02	0.00011	12470	-0.091355	-0.375904	-0.132742	-0.0371433	0.00791457	0.0319997	-0.099579	-0.0836323	0.0126704	0.0497228	-0.0998043	-0.0294452	main
1.5	80	hold	auto	15	7	0.02	0.00011	12470	-0.306087	-1	-0.489499	-0.185573	-0.00725344	0.103388	-0.335614	-0.27634	0.174098	0.169308	-0.229281	-0.0924585	main
1.5	80	hold	auto	15	30	0.02	0.00011	12470	-0.641705	-1	-1	-1	-0.178473	0.20955	-0.679617	-0.601657	0.599599	0.453645	-0.292149	-0.17871	main
1.5	80	hold	auto	30	1	0.02	0.00011	12470	-0.192042	-1	-0.275004	-0.0758245	0.0155378	0.0638827	-0.208368	-0.176357	0.0906977	0.101414	-0.152509	-0.0585362	main
1.5	80	hold	auto	30	7	0.02	0.00011	12470	-0.598635	-1	-1	-1	-0.106956	0.186065	-0.632666	-0.564493	0.561026	0.389939	-0.245911	-0.165627	main
1.5	80	hold	auto	30	30	0.02	0.00011	12470	-0.894276	-1	-1	-1	-1	0.117733	-0.914581	-0.873169	0.90842	1.10683	-0.302178	-0.240653	main
1.5	80	recover	auto	3	1	0.02	0.00011	12470	-0.00641756	-0.041793	-0.00640416	0.00113802	0.00222554	0.00432185	-0.00720342	-0.00566683	0			-0.00240208	main
1.5	80	recover	auto	3	7	0.02	0.00011	12470	-0.00793202	-0.0729257	0.00108657	0.00191596	0.00307039	0.00581437	-0.00949708	-0.00629731	8.01925e-05			-0.00263952	main
1.5	80	recover	auto	3	30	0.02	0.00011	12470	-0.00986442	-0.0774314	0.00136156	0.00212073	0.00330623	0.0062308	-0.0132482	-0.0068628	0.00144346			-0.00264503	main
1.5	80	recover	auto	5	1	0.02	0.00011	12470	-0.0106861	-0.069655	-0.0106736	0.0018967	0.00370923	0.00720308	-0.0119964	-0.00944369	0.000160385			-0.00400346	main
1.5	80	recover	auto	5	7	0.02	0.00011	12470	-0.0133142	-0.121543	0.00181096	0.00319327	0.00511732	0.00969062	-0.0159406	-0.0105815	0.000801925			-0.0043992	main
