seed	bucket	T_h	dR	lo95	hi95	loADJ	hiADJ	sig95	sigADJ	cap_hiADJ_pct
7	[0,0.05)	4	0.012660192441886172	-0.0068312766101728435	0.031199199927703022	-0.018291760555972328	0.03971844303150745	False	False	0.0571579701777164
7	[0,0.05)	12	0.020362455998282077	0.004458231591780476	0.03684058913854355	-0.00408004873122214	0.04585364339653879	True	False	0.13989737372717548
7	[0,0.05)	24	0.015675949480729645	3.1994078485387066e-05	0.03123630566598165	-0.007993254933946332	0.04106324770868539	True	False	0.18778514647114364
7	[0.05,0.10)	1	-0.005730536223063829	-0.021025804451927373	0.01071784763445289	-0.029455713251747197	0.020083715140827962	False	False	0.01452827676957886
7	[0.05,0.10)	4	0.005309315758143511	-0.010660336702557338	0.021032350312757152	-0.020158684942917827	0.030196520307264517	False	False	0.05173177689122283
7	[0.05,0.10)	12	-0.0043694821927976	-0.019877500113587125	0.011987073703354762	-0.028442592481781263	0.02121491767022251	False	False	0.06750582003669071
7	[0.05,0.10)	24	0.006827966493236634	-0.009037515883160686	0.023367302781868604	-0.017242132495016296	0.032813363774821046	False	False	0.15925903190377586
7	[0.10,0.25)	1	-0.0016719620093731114	-0.013349837614276897	0.010242357241819796	-0.019760251058919258	0.017117448941025428	False	False	0.015364765992889629
7	[0.10,0.25)	4	0.003177165304116432	-0.007596270060500145	0.013805648648252034	-0.014451632289943879	0.019797269093890596	False	False	0.039447210689376254
7	[0.10,0.25)	12	0.0074703623330754036	-0.002447709077820937	0.017364141730670236	-0.009121840467857708	0.022752843041342508	False	False	0.0829815071464738
7	[0.10,0.25)	24	0.017119413182191547	0.007367067687819145	0.027186943246714022	0.0016110779361862518	0.033286488932778094	True	True	0.17902765042032207
7	[0.25,0.50)	1	-1.873231049863745e-05	-0.009369873511776676	0.00960127943465596	-0.014242697413676278	0.014920713587606256	False	False	0.014271581955008725
7	[0.25,0.50)	4	0.0004024485017057482	-0.008191137305792556	0.008808902908153556	-0.012689015407174662	0.013256472264527872	False	False	0.027328657917159865
7	[0.25,0.50)	12	0.004618135602346366	-0.0052200191691175145	0.014454440660419239	-0.010874615639687437	0.02033641390510165	False	False	0.07692948399295711
7	[0.25,0.50)	24	0.009983655724683026	0.0009790106000218725	0.01901999627557809	-0.004217223327718352	0.023917735482767516	True	False	0.13637221426804794
7	[0.50,0.75)	1	-0.01086734103865345	-0.020447756342965417	-0.0014274681818012918	-0.025865711822663465	0.004221836776803452	True	False	0.004522860173020253
7	[0.50,0.75)	4	-0.000773168446932345	-0.009373052419383333	0.007509823057759319	-0.014169825341472512	0.01183753513935902	False	False	0.029947016795350216
7	[0.50,0.75)	12	0.00023032725815319953	-0.009324288883565207	0.009583971144304258	-0.015222929773338665	0.015072862163997234	False	False	0.06765639270389132
7	[0.50,0.75)	24	-0.0011786235641599847	-0.010258002318743544	0.007729339319412869	-0.015308199685233403	0.013252145945566632	False	False	0.08686838835588931
