ts	pair	grade	ret_24h	net_24h	mfe_24h	mae_24h
2026-07-05T12:15:00+00:00	BNB/USDT	B	-0.0145021830322744	-0.0165021830322744	0.016128756099649	-0.0202893587877748
2026-05-01T03:15:00+00:00	BTC/USDT	B	0.0153364835766396	0.0133364835766396	0.0222265343510934	-0.0070554689891366
2026-05-01T13:45:00+00:00	BTC/USDT	B	-0.0047017130136354	-0.0067017130136354	0.001708720877511	-0.012513262463032
2026-05-02T21:30:00+00:00	BTC/USDT	A	-0.0013535656309294	-0.0033535656309294	0.0058539461190276	-0.009169147738383
2026-05-03T22:00:00+00:00	BTC/USDT	A	0.0138821476582888	0.0118821476582888	0.019147772471008	-0.0133403819233945
2026-05-06T08:30:00+00:00	BTC/USDT	A	-0.0054281511103854	-0.0074281511103854	0.0140757632710204	-0.011932923876019
2026-05-10T22:30:00+00:00	BTC/USDT	B	-0.0012171520376397	-0.0032171520376397	0.0072225584543159	-0.0174007435532584
2026-05-20T05:00:00+00:00	BTC/USDT	A	0.0088378879759014	0.0068378879759014	0.0123011798913865	-0.0043814585499752
2026-05-21T17:00:00+00:00	BTC/USDT	B	-0.0070601203638084	-0.0090601203638084	0.0075880521754545	-0.0121275948745199
2026-05-24T10:15:00+00:00	BTC/USDT	A	0.0038248321886109	0.0018248321886109	0.0059552053282243	-0.0146554912811356
2026-05-26T14:15:00+00:00	BTC/USDT	B	-0.039539549298087	-0.041539549298087	0.0004834629751251	-0.0410484309580493
2026-06-07T06:30:00+00:00	BTC/USDT	B	0.0135596321689897	0.0115596321689897	0.0328332799240553	-0.0162187871275547
2026-06-07T22:00:00+00:00	BTC/USDT	B	-0.0046073897518014	-0.0066073897518014	0.0101860475210491	-0.0185412170856361
2026-06-11T17:30:00+00:00	BTC/USDT	B	0.007831902960889	0.005831902960889	0.016775882141079	-0.0079293260799163
2026-06-12T15:00:00+00:00	BTC/USDT	B	-0.0013157894736841	-0.0033157894736841	0.0003485987696514	-0.015099732803082
2026-06-13T21:30:00+00:00	BTC/USDT	A	0.01088639283754	0.00888639283754	0.0134739071016245	-0.0137673972273468
2026-06-14T21:15:00+00:00	BTC/USDT	B	0.0252416944384537	0.0232416944384536	0.0388603807921483	-0.0014555004811271
2026-06-17T15:45:00+00:00	BTC/USDT	B	-0.0514440703619769	-0.0534440703619769	0.0105539011062629	-0.0525950621418455
2026-06-19T23:45:00+00:00	BTC/USDT	B	0.0118675435407646	0.0098675435407646	0.0132837298308727	-0.0056604961294475
2026-06-20T14:45:00+00:00	BTC/USDT	B	0.0030659938483093	0.0010659938483093	0.0099781234998022	-0.0034353454813846
2026-06-22T01:15:00+00:00	BTC/USDT	B	-0.0068716542098471	-0.0088716542098471	0.014984685404664	-0.0131379322025038
